,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom,summarized_text,keywords
10,Viral image,2022-10-17,Barack Obama said he walks with his “husband Michael and hold hands.”,Unavailable,Barack Obama said walks “ husband Michael hold hands . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/viral-image/no-obama-didnt-call-his-wife-his-husband-michael/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
11,Viral image,2022-10-17,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",Unavailable,"Kid Rock posted “ Zelensky bought parents $ 8,000,000 villa , complete salt water pool & 3 brand new vehicles . ”",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/viral-image/social-media-post-critical-zelenskyy-came-kid-rock/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
12,Instagram posts,2022-10-17,Seattle authorities are investigating a string of serial killings.,Unavailable,Seattle authorities investigating string serial killings .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/instagram-posts/deputies-say-theres-no-evidence-of-serial-killings/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
13,Raphael Warnock,2022-10-17,“Black women are 3 to 4 times more likely to die (from maternal mortality) even when they have the insurance and the income.”,Unavailable,“ Black women 3 4 times likely die ( maternal mortality ) even insurance income . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/raphael-warnock/black-white-disparity-maternal-mortality-big-rapha/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
14,Facebook posts,2022-10-17,"In Texas, a person can register a dead relative to vote and then cast a mail ballot in their name.",Unavailable,"In Texas , person register dead relative vote cast mail ballot name .",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/facebook-posts/facebook-post-stirs-concern-about-dead-people-voti/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
15,Facebook posts,17--October,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",Unavailable,`` Ministros de Defensa de OTAN deciden invadir RUSIA para prevenir ataque de Putin ” .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/facebook-posts/otan-no-ha-decidido-invadir-rusia/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
16,Nick Myers,2022-10-17,Federal aid to tribal governments is “foreign aid.”,Unavailable,Federal aid tribal governments “ foreign aid . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/nick-myers/no-assistance-to-us-tribal-nations-isnt-foreign-ai/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
17,Tony Evers,2022-10-17,Says “Tim Michels wants to defund public education — calling it ‘the definition of insanity’ to continue to fund public schools.”,Unavailable,Says “ Tim Michels wants defund public education — calling ‘ definition insanity ’ continue fund public schools . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/tony-evers/evers-campaign-base-claim-about-what-michels-wants/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
18,Mark Finchem,2022-10-17,The Electronic Registration Information Center is “a system that’s funded by George Soros.”,Unavailable,The Electronic Registration Information Center “ system ’ funded George Soros . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/17/mark-finchem/arizonas-mark-finchem-falsely-links-george-soros-t/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
19,Facebook posts,2022-10-14,"If a sealed bag of raw poultry appears “puffy,” it means the protein is not safe to consume.",Unavailable,"If sealed bag raw poultry appears “ puffy , ” means protein safe consume .",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/14/facebook-posts/puffy-poultry-bags-arent-sign-bad-meat/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
20,Club for Growth,14--October,"As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”",Unavailable,"As attorney general , Catherine Cortez Masto “ opposed tougher laws methamphetamine dealers . ”",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/14/club-growth/fact-checking-nevada-ad-sen-cortez-mastos-record-a/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
21,Instagram posts,2022-10-14,Video shows gunfire in Venezuela.,Unavailable,Video shows gunfire Venezuela .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/14/instagram-posts/shooting-video-taken-brazil-not-venezuela/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
22,Facebook posts,2022-10-14,“Trump woken up from his bed by police.”,Unavailable,“ Trump woken bed police . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/14/facebook-posts/no-police-didnt-rouse-trump-from-his-bed/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
23,Instagram posts,2022-10-13,Pfizer executive “admits” vaccine was never tested for preventing transmission.,Unavailable,Pfizer executive “ admits ” vaccine never tested preventing transmission .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/instagram-posts/alleged-revelation-about-pfizer-vaccine-trial-noth/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
24,Facebook posts,2022-10-13,“Kamala Harris resigns in shock after Biden’s ‘mandatory’ border trip…Trump jails ‘corrupt’ VP.”,Unavailable,“ Kamala Harris resigns shock Biden ’ ‘ mandatory ’ border trip…Trump jails ‘ corrupt ’ VP . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/facebook-posts/kamala-harris-didnt-resign-or-get-jailed-trump/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
25,Instagram posts,2022-10-13,“Premature babies are at a much higher risk of injury from immunizations than full-term babies.”,Unavailable,“ Premature babies much higher risk injury immunizations full-term babies . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/instagram-posts/instagram-post-misrepresents-findings-infant-vacci/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
26,Facebook posts,2022-10-13,The government is giving every household a $500 Walmart shopping credit to help with inflation.,Unavailable,The government giving every household $ 500 Walmart shopping credit help inflation .,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/facebook-posts/no-government-didnt-give-500-walmart-credit-every-/,,Unknown,Fake,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
27,Joe Biden,2022-10-13,"The Biden administration has “created” more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.",Unavailable,"The Biden administration “ created ” double number jobs per month , average , administration going back George H.W . Bush .",Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/joe-biden/un-spinning-white-house-chart-bidens-job-gains/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
28,West Virginia Republican Party,2022-10-13,“Overdoses reached an all-time high in 2021.”,Unavailable,“ Overdoses reached all-time high 2021 . ”,Unavailable,English,https://www.politifact.com/factchecks/2022/oct/13/west-virginia-republican-party/overdoses-reached-all-time-high-2021/,,Unknown,Real,False,politifact, Unavailable is available in the U.S. Library of Congress . Visit CNN.com/Heroes for more information . Please submit a photo of your favorite photos of the world's most memorable moments . Visit http://www.cnn.org/everywhere.com for photos .,"('unavailable', 1.0)"
30,Matt Lee,2022-10-13,EXPLAINER: What's the state of Russia's missile arsenal?,"FILE - Russian's Air Force Mikoyan MiG-31K jets carrying Kh-47M2 Kinzhal nuclear-capable air-launched ballistic missiles fly over Red Square during a rehearsal for the Victory Day military parade in Moscow, Russia, on May 7, 2021. As Russia bombarded Ukraine this week, military observers were left wondering about how many and what types of missiles Russia still has in its arsenal. In other words, how long can the Kremlin keep up the barrage? Associated Press FILE Russian the S-300 air defense missile systems drive during the Victory Day military parade marking 71 years after the victory in WWII in Red Square in Moscow, Russia, Monday, May 9, 2016.",EXPLAINER : What 's state Russia 's missile arsenal ?,"FILE - Russian 's Air Force Mikoyan MiG-31K jets carrying Kh-47M2 Kinzhal nuclear-capable air-launched ballistic missiles fly Red Square rehearsal Victory Day military parade Moscow , Russia , May 7 , 2021 . As Russia bombarded Ukraine week , military observers left wondering many types missiles Russia still arsenal . In words , long Kremlin keep barrage ? Associated Press FILE Russian S-300 air defense missile systems drive Victory Day military parade marking 71 years victory WWII Red Square Moscow , Russia , Monday , May 9 , 2016 .",English,https://www.dailyherald.com/article/20221013/news/310139888,,Unknown,Unknown,False,newsCatcher," As Russia bombarded Ukraine this week, military observers were left wondering about how many and what types of missiles Russia still has in its arsenal . In other words, how long can the Kremlin keep up the barrage? Russia's military observers are left wondering how long it will take for Russia to bomb Ukraine .","('missiles', 0.4999)"
31,Ht Auto Desk,2022-10-18,"After Nissan, Hyundai too plans to shut Russia business: Reports","Several carmakers, including Nissan Motor and Renault, have already shut down operations in Russia amid the country's war against Ukraine this year.
 








Korean carmaker Hyundai had suspended operations at its Russian factory in March. The carmaker did not sell any cars in the last two months. (AP)
 
 Korean carmaker Hyundai Motor may soon exit Russia amid continuous war against Russia that has hit hard the automotive business in the country this year. According to a report by news agency Reuters, Hyundai is likely to shut down its operations completely in Russia and also sell its manufacturing facility to the state.","After Nissan , Hyundai plans shut Russia business : Reports","Several carmakers , including Nissan Motor Renault , already shut operations Russia amid country 's war Ukraine year . Korean carmaker Hyundai suspended operations Russian factory March . The carmaker sell cars last two months . ( AP ) Korean carmaker Hyundai Motor may soon exit Russia amid continuous war Russia hit hard automotive business country year . According report news agency Reuters , Hyundai likely shut operations completely Russia also sell manufacturing facility state .",English,https://auto.hindustantimes.com/auto/news/after-nissan-hyundai-too-plans-to-shut-russia-business-reports-41666067073634.html,,Unknown,Unknown,False,newsCatcher," Korean carmaker Hyundai had suspended operations at its Russian factory in March . The carmaker did not sell any cars in the last two months . Several carmakers, including Nissan Motor and Renault, have already shut down operations in Russia . The war against Russia has hit hard the automotive business in Russia this year .","('hyundai', 0.4578)"
32,SETH J. FRANTZMAN,2022-10-13,"The UN condemned Russia, is Moscow's war finally losing international impunity?","Russia has lost a vote at the UN over its war on Ukraine and its attempt to annex territories illegally acquired in that war.

The UN General Assembly adopted a resolution that condemns Russia's ""illegal so-called referendums"" in regions within Ukraine's internationally-recognized borders, the UN said after the vote. The resolution demands Russia reverses its annexation declaration.

Countries in the Middle East generally voted to condemn Russia, illustrating that the region may have qualms with US foreign policy; but at the UN they can mostly agree on something.","The UN condemned Russia , Moscow 's war finally losing international impunity ?","Russia lost vote UN war Ukraine attempt annex territories illegally acquired war . The UN General Assembly adopted resolution condemns Russia 's `` illegal so-called referendums '' regions within Ukraine 's internationally-recognized borders , UN said vote . The resolution demands Russia reverses annexation declaration . Countries Middle East generally voted condemn Russia , illustrating region may qualms US foreign policy ; UN mostly agree something .",English,https://www.jpost.com/international/article-719585,,Unknown,Unknown,False,newsCatcher," The UN General Assembly adopted a resolution condemning Russia's ""illegal so-called referendums"" in regions within Ukraine's internationally-recognized borders . The resolution demands Russia reverses its annexation declaration . The Middle East generally voted to condemn Russia, illustrating that the region may have qualms with US foreign policy .","('ukraine', 0.3874)"
33,Sputnik International,2022-10-16,Mauritius Wants to Develop Cooperation With Russia – Ambassador,"https://sputniknews.com/20221016/mauritius-wants-to-develop-cooperation-with-russia--ambassador-1101895502.htmlMauritius Wants to Develop Cooperation With Russia – AmbassadorMauritius Wants to Develop Cooperation With Russia – AmbassadorMOSCOW, (Sputnik) - Mauritius intends to actively develop cooperation with Russia, the ambassador of the republic to Russia, Jankee Kheswar, said on Sunday. 16.10.2022, Sputnik International2022-10-16T08:46+00002022-10-16T08:46+00002022-10-16T08:46+0000russiarussiamauritiustourismcooperationafrica/html/head/meta[@name='og:title']/@content/html/head/meta[@name='og:description']/@contenthttps://cdnn1.",Mauritius Wants Develop Cooperation With Russia – Ambassador,"https : //sputniknews.com/20221016/mauritius-wants-to-develop-cooperation-with-russia -- ambassador-1101895502.htmlMauritius Wants Develop Cooperation With Russia – AmbassadorMauritius Wants Develop Cooperation With Russia – AmbassadorMOSCOW , ( Sputnik ) - Mauritius intends actively develop cooperation Russia , ambassador republic Russia , Jankee Kheswar , said Sunday . 16.10.2022 , Sputnik International2022-10-16T08:46+00002022-10-16T08:46+00002022-10-16T08:46+0000russiarussiamauritiustourismcooperationafrica/html/head/meta [ @ name='og : title ' ] / @ content/html/head/meta [ @ name='og : description ' ] / @ contenthttps : //cdnn1 .",English,https://sputniknews.com/20221016/mauritius-wants-to-develop-cooperation-with-russia--ambassador-1101895502.html,,Unknown,Unknown,False,newsCatcher," Mauritius Wants to Develop Cooperation With Russia – Ambassador Jankee Kheswar . Mauritius intends to actively develop cooperation with Russia, ambassador says . Ambassador of the republic to Russia says Mauritius wants to actively cooperate with Russia . Mauritian ambassador to Russia: Mauritius is Mauritius' most populous African nation .","('ambassadormauritius', 0.5514)"
34,Emily Rauhala,2022-10-12,Russia-Ukraine war live updates: NATO discusses air defenses; Russia claims arrests for Crimean Bridge blast,"Russia-Ukraine war live updates: NATO discusses air defenses; Russia claims arrests for Crimean Bridge blast  The Washington PostUkraine-Russia war: G7 countries will back Kyiv 'for as long as it takes'  BBCEx-Russian FM lists Putin's 3 major miscalculations in Ukraine  CNNU.S., allies aim to continue hammering Russia over its 'egregious' war in Ukraine -officials  ReutersWorld leaders say recent attacks on Ukraine may constitute war crime  WFAAView Full Coverage on Google News",Russia-Ukraine war live updates : NATO discusses air defenses ; Russia claims arrests Crimean Bridge blast,"Russia-Ukraine war live updates : NATO discusses air defenses ; Russia claims arrests Crimean Bridge blast The Washington PostUkraine-Russia war : G7 countries back Kyiv 'for long takes' BBCEx-Russian FM lists Putin 's 3 major miscalculations Ukraine CNNU.S. , allies aim continue hammering Russia 'egregious ' war Ukraine -officials ReutersWorld leaders say recent attacks Ukraine may constitute war crime WFAAView Full Coverage Google News",English,https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDIyLzEwLzEyL3J1c3NpYS11a3JhaW5lLXdhci1sYXRlc3QtdXBkYXRlcy_SAQA?oc=5,,Unknown,Unknown,False,newsCatcher, Russia-Ukraine war live updates: NATO discusses air defenses; Russia claims arrests for Crimean Bridge blast . G7 countries will back Kyiv 'for as long as it takes' G7 nations will continue to hammer Russia over its 'egregious' war in Ukraine -officials .,"('ukraine', 0.5544)"
35,Sputnik International,2022-10-18,Uganda Open to Trading With Russia in National Currencies,"https://sputniknews.com/20221018/uganda-open-to-trading-with-russia-in-national-currencies---ambassador-1101994053.htmlUganda Open to Trading With Russia in National Currencies - AmbassadorUganda Open to Trading With Russia in National Currencies - AmbassadorMOSCOW (Sputnik) - Uganda has no objections to switching the trade with Russia to rubles and Ugandan shillings, with Kampala having a liberal attitude toward... 18.10.2022, Sputnik International2022-10-18T06:34+00002022-10-18T06:34+00002022-10-18T06:34+0000africarussiaafrica/html/head/meta[@name='og:title']/@content/html/head/meta[@name='og:description']/@contenthttps://cdnn1.",Uganda Open Trading With Russia National Currencies,"https : //sputniknews.com/20221018/uganda-open-to-trading-with-russia-in-national-currencies -- -ambassador-1101994053.htmlUganda Open Trading With Russia National Currencies - AmbassadorUganda Open Trading With Russia National Currencies - AmbassadorMOSCOW ( Sputnik ) - Uganda objections switching trade Russia rubles Ugandan shillings , Kampala liberal attitude toward ... 18.10.2022 , Sputnik International2022-10-18T06:34+00002022-10-18T06:34+00002022-10-18T06:34+0000africarussiaafrica/html/head/meta [ @ name='og : title ' ] / @ content/html/head/meta [ @ name='og : description ' ] / @ contenthttps : //cdnn1 .",English,https://sputniknews.com/20221018/uganda-open-to-trading-with-russia-in-national-currencies---ambassador-1101994053.html,,Unknown,Unknown,False,newsCatcher," Uganda has no objections to switching the trade with Russia to rubles and Ugandan shillings . Kampala has a liberal attitude toward Russia, ambassador says . Uganda has 'no objections' to switch the trade between Russia and Uganda, ambassador tells Sputnik . Uganda is open to trading with Russia in national currencies, Ambassador says .","('uganda', 0.4794)"
36,Russia Today,2022-10-13,New Zealand anti-Russia sanctions threaten wine supply,"New Zealand announced new trade restrictions against Russia on Tuesday, which include a ban on trade in luxury goods, in response to this week's escalation of the conflict in Ukraine.'The trade measures include a significant expansion of the range of exports of strategic importance prohibited to Russia and Belarus, and prohibiting certain luxury goods from being traded with Russia... like NZ wine and seafood and Russian vodka and caviar,' Foreign Minister Nanaya Mahuta said in a statement on the government website.",New Zealand anti-Russia sanctions threaten wine supply,"New Zealand announced new trade restrictions Russia Tuesday , include ban trade luxury goods , response week 's escalation conflict Ukraine . 'The trade measures include significant expansion range exports strategic importance prohibited Russia Belarus , prohibiting certain luxury goods traded Russia ... like NZ wine seafood Russian vodka caviar , ' Foreign Minister Nanaya Mahuta said statement government website .",English,https://www.rt.com/business/564511-new-zealand-wine-ban-russia/,,Unknown,Unknown,False,newsCatcher, New Zealand announced new trade restrictions against Russia on Tuesday . They include a ban on trade in luxury goods . The measures are in response to this week's escalation of the conflict in Ukraine . Foreign Minister Nanaya Mahuta said the measures were 'significant expansion of the range of exports of strategic importance prohibited',"('restrictions', 0.3748)"
37,Voa Persian Service,2022-10-18,US Says Iranian Drone Supplies to Russia Violate UN Resolution,"The United States said Monday that Iran is violating a U.N. Security Council resolution by supplying drones to Russia. 
'Earlier today, our French and British allies publicly offered the assessment that Iran's supply of these UAVs to Russia is a violation of U.N. Security Council Resolution 2231, and this is something that we agree with,' deputy State Department spokesperson Vedant Patel told reporters. 
The Security Council adopted the resolution in 2015, codifying the international agreement that restricted Iran's nuclear program in exchange for sanctions relief.",US Says Iranian Drone Supplies Russia Violate UN Resolution,"The United States said Monday Iran violating U.N. Security Council resolution supplying drones Russia . 'Earlier today , French British allies publicly offered assessment Iran 's supply UAVs Russia violation U.N. Security Council Resolution 2231 , something agree , ' deputy State Department spokesperson Vedant Patel told reporters . The Security Council adopted resolution 2015 , codifying international agreement restricted Iran 's nuclear program exchange sanctions relief .",English,https://www.voanews.com/a/us-says-iranian-drone-supplies-to-russia-violate-un-resolution/6794394.html,,Unknown,Unknown,False,newsCatcher," The United States said Monday that Iran is violating a U.N. Security Council resolution by supplying drones to Russia . The Security Council adopted the resolution in 2015, codifying the international agreement that restricted Iran's nuclear program in exchange for sanctions relief . The resolution was adopted in 2015 .","('sanctions', 0.3809)"
