,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
61,Denny Jacob,2022-10-03,"Nvidia Closing Offices in Russia, Ceasing All Activities There","Nvidia says its employees in Russia would be given the option of continuing their jobs in other countries.Photo: NVIDIA CORP/REUTERSBy Denny JacobUpdated Oct. 3, 2022 4:22 pm ETListen to article(1 minute)Nvidia moved to cease operations and close its offices in Russia, saying it could no longer operate effectively in the country because of recent events related to the invasion in Ukraine.?The chip maker on Monday said it would withdraw from Russia after it had previously suspended shipments to the country.","Nvidia Closing Offices Russia , Ceasing All Activities There","Nvidia says employees Russia would given option continuing jobs countries.Photo : NVIDIA CORP/REUTERSBy Denny JacobUpdated Oct. 3 , 2022 4:22 pm ETListen article ( 1 minute ) Nvidia moved cease operations close offices Russia , saying could longer operate effectively country recent events related invasion Ukraine . The chip maker Monday said would withdraw Russia previously suspended shipments country .",English,https://www.wsj.com/articles/nvidia-closing-offices-in-russia-ceasing-all-activities-there-11664827339,,Unknown,Unknown,FALSE,newsCatcher
62,,2022-10-03,There is a large potential for Pakistan to increase its exports to Russia,"Pakistan had a trade surplus of $6.421 million with Russia in July-August 2022. Data from the State Bank of Pakistan (SBP) shows that the bilateral trade volume was worth $388.492 million in fiscal year 2021-22.

Exports from Pakistan to Russia were $14.005 million in July-August FY23 compared to $21.133 million in the corresponding period of FY22, showing a decline of 33%. Currently, it might be advantageous for Pakistan to divert its banana exports from Afghanistan to Russia and its onion exports from Sri Lanka to Russia.",There large potential Pakistan increase exports Russia,"Pakistan trade surplus $ 6.421 million Russia July-August 2022 . Data State Bank Pakistan ( SBP ) shows bilateral trade volume worth $ 388.492 million fiscal year 2021-22 . Exports Pakistan Russia $ 14.005 million July-August FY23 compared $ 21.133 million corresponding period FY22 , showing decline 33 % . Currently , might advantageous Pakistan divert banana exports Afghanistan Russia onion exports Sri Lanka Russia .",English,https://www.freshplaza.com/europe/article/9465252/there-is-a-large-potential-for-pakistan-to-increase-its-exports-to-russia,,Unknown,Unknown,FALSE,newsCatcher
63,,2022-10-04,"SpaceX spent $80 million on Ukraine, 0 on Russia, Elon tweets after Zelenskyy asks people ¡®which Musk they like more, one who supports Ukraine or Russia',","Tribune Web Desk Chandigarh, October 4 Tesla CEO Elon Musk has said that SpaceX's out-of-pocket cost to support Ukraine has been $80 million so far. ""Our support for Russia is $0. Obviously, we are pro Ukraine,"" he added. SpaceX's out of pocket cost to enable & support Starlink in Ukraine is Rs $80M so far. Our support for Russia is $0. Obviously, we are pro Ukraine.Trying to retake Crimea will cause massive death, probably fail & risk nuclear war. This would be terrible for Ukraine & Earth. ? Elon Musk (@elonmusk) October 3, 2022 His tweet came after Ukrainian President Volodymyr Zelenskyy took a poll asking people which Musk they like more, the one who supports Ukraine or the one who supports Russia.","SpaceX spent $ 80 million Ukraine , 0 Russia , Elon tweets Zelenskyy asks people ¡® Musk like , one supports Ukraine Russia ' ,","Tribune Web Desk Chandigarh , October 4 Tesla CEO Elon Musk said SpaceX 's out-of-pocket cost support Ukraine $ 80 million far . `` Our support Russia $ 0 . Obviously , pro Ukraine , '' added . SpaceX 's pocket cost enable & support Starlink Ukraine Rs $ 80M far . Our support Russia $ 0 . Obviously , pro Ukraine.Trying retake Crimea cause massive death , probably fail & risk nuclear war . This would terrible Ukraine & Earth . ? Elon Musk ( @ elonmusk ) October 3 , 2022 His tweet came Ukrainian President Volodymyr Zelenskyy took poll asking people Musk like , one supports Ukraine one supports Russia .",English,https://www.tribuneindia.com/news/world/spacex-spent-80-million-on-ukraine-0-for-russia-elon-tweets-after-zelenskyy-asks-people-which-musk-they-like-more-one-who-supports-ukraine-or-russia-438010,,Unknown,Unknown,FALSE,newsCatcher
64,Danielle Ong,2022-10-04,"Zelensky, Officials Criticize Elon Musk's Tweets About 'Ukraine-Russia Peace' Plan, Crimea Staying Annexed","Musk posted a Twitter poll asking users whether Ukraine should re-do elections in annexed regionsZelensky asked Twitter users whether they preferred Musk supporting Ukraine or RussiaUkraine's ambassador to Germany Andrii?Melnyk told Musk to 'f**k off'Tesla CEO Elon Musk on Monday drew criticism from Ukrainian President Volodymyr Zelensky and officials after he took to Twitter to suggest an unsolicited four-point peace plan to end the war between Russia and Ukraine.In a Twitter poll, Musk proposed several paths to ""Ukraine-Russia Peace,"" including re-doing referendums in annexed Ukrainian regions under UN supervision and allowing Crimea to remain annexed.","Zelensky , Officials Criticize Elon Musk 's Tweets About 'Ukraine-Russia Peace ' Plan , Crimea Staying Annexed","Musk posted Twitter poll asking users whether Ukraine re-do elections annexed regionsZelensky asked Twitter users whether preferred Musk supporting Ukraine RussiaUkraine 's ambassador Germany Andrii Melnyk told Musk ' f * * k off'Tesla CEO Elon Musk Monday drew criticism Ukrainian President Volodymyr Zelensky officials took Twitter suggest unsolicited four-point peace plan end war Russia Ukraine.In Twitter poll , Musk proposed several paths `` Ukraine-Russia Peace , '' including re-doing referendums annexed Ukrainian regions UN supervision allowing Crimea remain annexed .",English,https://www.ibtimes.com/zelensky-officials-criticize-elon-musks-tweets-about-ukraine-russia-peace-plan-crimea-staying-3619858,,Unknown,Unknown,FALSE,newsCatcher
65,Brad Dress,2022-10-03,Zelensky responds to Musk poll with one of his own: ¡®Which Elon Musk do you like more?',"Ukrainian President Volodymyr Zelensky responded to Elon Musk's poll about whether Ukraine should give up territory to Russia on Monday by turning the tables on the tech billionaire.

Zelensky tweeted out a poll of his own, asking Twitter users which Musk they like better: 'One who supports Ukraine' or 'One who supports Russia.'

Musk's Twitter poll drew widespread attention on Monday afternoon when the SpaceX and Tesla CEO asked users if they supported his peace proposal for the war in Ukraine.

Musk's proposal was to redo elections in regions of Ukraine annexed by Russia, with the elections under United Nations supervision, have Ukraine cede the Crimean peninsula to Russia, and for Ukraine to remain as a neutral country between Russia and the West.",Zelensky responds Musk poll one : ¡® Which Elon Musk like ? ',"Ukrainian President Volodymyr Zelensky responded Elon Musk 's poll whether Ukraine give territory Russia Monday turning tables tech billionaire . Zelensky tweeted poll , asking Twitter users Musk like better : 'One supports Ukraine ' 'One supports Russia . ' Musk 's Twitter poll drew widespread attention Monday afternoon SpaceX Tesla CEO asked users supported peace proposal war Ukraine . Musk 's proposal redo elections regions Ukraine annexed Russia , elections United Nations supervision , Ukraine cede Crimean peninsula Russia , Ukraine remain neutral country Russia West .",English,https://thehill.com/homenews/3672404-zelensky-responds-to-musk-poll-with-one-of-his-own-which-elon-musk-do-you-like-more/,,Unknown,Unknown,FALSE,newsCatcher
66,,2022-09-28,U.S. embassy in Moscow urges Americans to depart Russia to avoid being conscripted,"WASHINGTON, Sept. 28 (Xinhua) -- The U.S. embassy in Moscow has urged American nationals residing in Russia to depart the country immediately, citing what it claimed to be possibility that Russia could conscript dual nationals for military service. ""Russia may refuse to acknowledge dual nationals' U.S. citizenship, deny their access to U.S. consular assistance, prevent their departure from Russia, and conscript dual nationals for military service,"" read an alert posted on the embassy's website Tuesday.",U.S. embassy Moscow urges Americans depart Russia avoid conscripted,"WASHINGTON , Sept. 28 ( Xinhua ) -- The U.S. embassy Moscow urged American nationals residing Russia depart country immediately , citing claimed possibility Russia could conscript dual nationals military service . `` Russia may refuse acknowledge dual nationals ' U.S. citizenship , deny access U.S. consular assistance , prevent departure Russia , conscript dual nationals military service , '' read alert posted embassy 's website Tuesday .",English,https://english.news.cn/northamerica/20220929/a1013ddcc2d34a06869cb74745500faa/c.html,,Unknown,Unknown,FALSE,newsCatcher
67,Yaroslav Trofimov,2022-10-03,Elon Musk sparks outrage in Ukraine over Russia tweets,"Elon Musk's tweets saying that Crimea rightfully belongs to Russia and proposing a referendum in?Russian-occupied parts of Ukraine?have provoked a firestorm of criticism from Ukraine and its supporters ? and nods of appreciation in Moscow. Musk enjoyed until now a hero status in Ukraine because?Starlink terminals ? from one of his companies, Space Exploration Technologies Corp., better known as SpaceX ? have played a critical role in maintaining the country's communications during the?war with Russia.",Elon Musk sparks outrage Ukraine Russia tweets,"Elon Musk 's tweets saying Crimea rightfully belongs Russia proposing referendum Russian-occupied parts Ukraine provoked firestorm criticism Ukraine supporters ? nods appreciation Moscow . Musk enjoyed hero status Ukraine Starlink terminals ? one companies , Space Exploration Technologies Corp. , better known SpaceX ? played critical role maintaining country 's communications war Russia .",English,https://www.wsj.com/articles/elon-musk-draws-criticism-from-ukraines-zelensky-over-russia-tweets-11664831256,,Unknown,Unknown,FALSE,newsCatcher
68,,2022-10-04,Musk suggerisce condizioni per la pace tra Ucraina e Russia,"(ANSA) - WASHINGTON, 03 OTT - Elon Musk suggerisce su Twitter le condizioni per la pace Ucraina-Russia: ""rifare le elezioni nelle regioni annesse sotto la supervisione Onu"", con la Russia ""che lascia se questa ? la volont? del popolo""; ""la Crimea formalmente parte della Russia, come ? stato dal 1738 (fino all'errore di Krusciov)""; ""forniture d'acqua assicurate alle Crimea""; ""l'Ucraina resta neutrale"". Condizioni che a molti osservatori sembrano ragionevoli per aprire un tavolo di negoziati. 
 

 ? Provided by ANSA Musk suggerisce condizioni per la pace tra Ucraina e Russia

 ""Elon Musk, esiste un piano di pace migliore"", gli ha risposto in un altro tweet Mykhailo Podolyak, consigliere del presidente ucraino Volodymyr Zelensky -: 1.",Musk suggerisce condizioni per la pace tra Ucraina e Russia,"( ANSA ) - WASHINGTON , 03 OTT - Elon Musk suggerisce su Twitter le condizioni per la pace Ucraina-Russia : `` rifare le elezioni nelle regioni annesse sotto la supervisione Onu '' , con la Russia `` che lascia se questa ? la volont? del popolo '' ; `` la Crimea formalmente parte della Russia , come ? stato dal 1738 ( fino all'errore di Krusciov ) '' ; `` forniture d'acqua assicurate alle Crimea '' ; `` l'Ucraina resta neutrale '' . Condizioni che molti osservatori sembrano ragionevoli per aprire un tavolo di negoziati . ? Provided ANSA Musk suggerisce condizioni per la pace tra Ucraina e Russia `` Elon Musk , esiste un piano di pace migliore '' , gli ha risposto un altro tweet Mykhailo Podolyak , consigliere del presidente ucraino Volodymyr Zelensky - : 1 .",English,https://www.msn.com/it-it/notizie/mondo/musk-suggerisce-condizioni-per-la-pace-tra-ucraina-e-russia/ar-AA12y8Rv,,Unknown,Unknown,FALSE,newsCatcher
69,James Rogers,2022-10-04,"Nvidia closes Russian offices, will fly relocating employees out of the country, report says","Chipmaker Nvidia is ending its activities in Russia, and is giving its employees in the country the opportunity to relocate. In a statement, Nvidia Corp. NVDA, +4.64% confirmed that it is ceasing all activities and closing its offices in Russia. ?'After?previously suspending shipments to the country, we had continued to maintain our office to support our employees and their families,' the company added. 'With recent developments,?we can no longer operate effectively there.' All employees will be given the option of continuing their jobs in other countries, Nvidia said.","Nvidia closes Russian offices , fly relocating employees country , report says","Chipmaker Nvidia ending activities Russia , giving employees country opportunity relocate . In statement , Nvidia Corp. NVDA , +4.64 % confirmed ceasing activities closing offices Russia . 'After previously suspending shipments country , continued maintain office support employees families , ' company added . 'With recent developments , longer operate effectively . ' All employees given option continuing jobs countries , Nvidia said .",English,https://www.marketwatch.com/story/nvidia-closes-russian-offices-will-fly-relocating-employees-out-of-the-country-report-says-11664908547,,Unknown,Unknown,FALSE,newsCatcher
70,,2022-10-04,Zelensky attacks Elon Musk for proposing peaceful solution for Ukraine conflict -- Sott.net,"Ukrainian President Volodymyr Zelensky suggested that Elon Musk was supporting Russia by providing a hypothetical peace scenario in the conflict between the two eastern European nations. The tweet from Zelensky comes after Ukraine's ambassador to Germany Andriy Melnik lashed out at Musk, telling him to ""f*ck off."" Zelensky tweeted a poll with the question, ""which Elon Musk do you like better?"" with the options being ""One who supports Ukraine"" and ""One who supports Russia."" Musk's proposal involved a re-do referendum election of the annexed regions which recently voted to join Russia in what's been called a ""sham"" by observers, including British Foreign Secretary James Cleverly.",Zelensky attacks Elon Musk proposing peaceful solution Ukraine conflict -- Sott.net,"Ukrainian President Volodymyr Zelensky suggested Elon Musk supporting Russia providing hypothetical peace scenario conflict two eastern European nations . The tweet Zelensky comes Ukraine 's ambassador Germany Andriy Melnik lashed Musk , telling `` f * ck . '' Zelensky tweeted poll question , `` Elon Musk like better ? '' options `` One supports Ukraine '' `` One supports Russia . '' Musk 's proposal involved re-do referendum election annexed regions recently voted join Russia 's called `` sham '' observers , including British Foreign Secretary James Cleverly .",English,https://www.sott.net/article/472758-Zelensky-attacks-Elon-Musk-for-proposing-peaceful-solution-for-Ukraine-conflict,,Unknown,Unknown,FALSE,newsCatcher
71,Brad Dress,2022-10-03,Zelensky responds to Musk poll with one of his own: ¡®Which Elon Musk do you like more?',"Ukrainian President Voldymyr Zelensky responded to Elon Musk's poll about whether Ukraine should give up territory to Russia on Monday by turning the tables on the tech billionaire.

Zelensky tweeted out a poll of his own, asking Twitter users which Musk they like better: ""One who supports Ukraine"" or ""One who supports Russia.""

Musk's Twitter poll drew widespread attention on Monday afternoon when the SpaceX and Tesla CEO asked users if they supported his peace proposal for the war in Ukraine.

Musk's proposal was to redo elections in regions of Ukraine annexed by Russia, with the elections under United Nations supervision, have Ukraine cede the Crimean peninsula to Russia, and for Ukraine to remain as a neutral country between Russia and the West.",Zelensky responds Musk poll one : ¡® Which Elon Musk like ? ',"Ukrainian President Voldymyr Zelensky responded Elon Musk 's poll whether Ukraine give territory Russia Monday turning tables tech billionaire . Zelensky tweeted poll , asking Twitter users Musk like better : `` One supports Ukraine '' `` One supports Russia . '' Musk 's Twitter poll drew widespread attention Monday afternoon SpaceX Tesla CEO asked users supported peace proposal war Ukraine . Musk 's proposal redo elections regions Ukraine annexed Russia , elections United Nations supervision , Ukraine cede Crimean peninsula Russia , Ukraine remain neutral country Russia West .",English,https://www.kansascity.com/news/politics-government/article266771526.html#storylink=mainstage_card,,Unknown,Unknown,FALSE,newsCatcher
72,Jak Connor,2022-10-04,Elon Musk jumps into hot water over his Russia and Ukraine peace deal,"Elon Musk has taken to Twitter to propose a series of conditions that he believes will lead to peace being established between Russia and Ukraine.Tesla and SpaceX CEO and founder Elon Musk has weighed in on how to resolve the conflict erupting between Russia and Ukraine. Musk fired off a series of tweets on Monday that proposed a series of conditions that he believes will lead to peace being established between the two battling nations. However, his points of view have sparked major online debate leading to ""#Elon"" trending on Twitter and responses from multiple high-level Ukrainian officials.",Elon Musk jumps hot water Russia Ukraine peace deal,"Elon Musk taken Twitter propose series conditions believes lead peace established Russia Ukraine.Tesla SpaceX CEO founder Elon Musk weighed resolve conflict erupting Russia Ukraine . Musk fired series tweets Monday proposed series conditions believes lead peace established two battling nations . However , points view sparked major online debate leading `` # Elon '' trending Twitter responses multiple high-level Ukrainian officials .",English,https://www.tweaktown.com/news/88776/elon-musk-jumps-into-hot-water-over-his-russia-and-ukraine-peace-deal/index.html,,Unknown,Unknown,FALSE,newsCatcher
73,,2022-10-04,Federation Council approves ratification of accords on accepting new entities into Russia,"MOSCOW, October 4. /TASS/. Russia's Federation Council (the upper house of parliament) has unanimously approved laws on the ratification of four international agreements on accepting the Donetsk and Lugansk People's Republics (DPR, LPR), as well as the Kherson and Zaporozhye regions, into Russia.

The documents were signed in Moscow on September 30.

The international agreements include the establishment of borders of the new constituent entities, saying that the borders of the republics and regions will be the same as those that ""existed on the day of their creation and accession into Russia.",Federation Council approves ratification accords accepting new entities Russia,"MOSCOW , October 4 . /TASS/ . Russia 's Federation Council ( upper house parliament ) unanimously approved laws ratification four international agreements accepting Donetsk Lugansk People 's Republics ( DPR , LPR ) , well Kherson Zaporozhye regions , Russia . The documents signed Moscow September 30 . The international agreements include establishment borders new constituent entities , saying borders republics regions `` existed day creation accession Russia .",English,https://tass.com/politics/1517405,,Unknown,Unknown,FALSE,newsCatcher
74,???,2022-09-29,US embassy in Moscow urges Americans to depart Russia to avoid being conscripted,"The U.S. embassy in Moscow has urged American nationals residing in Russia to depart the country immediately, citing what it claimed to be possibility that Russia could conscript dual nationals for military service.""Russia may refuse to acknowledge dual nationals' U.S. citizenship, deny their access to U.S. consular assistance, prevent their departure from Russia, and conscript dual nationals for military service,"" read an alert posted on the embassy's website Tuesday.""U.S. citizens should not travel to Russia and those residing or travelling in Russia should depart Russia immediately while limited commercial travel options remain,"" it added.",US embassy Moscow urges Americans depart Russia avoid conscripted,"The U.S. embassy Moscow urged American nationals residing Russia depart country immediately , citing claimed possibility Russia could conscript dual nationals military service . `` Russia may refuse acknowledge dual nationals ' U.S. citizenship , deny access U.S. consular assistance , prevent departure Russia , conscript dual nationals military service , '' read alert posted embassy 's website Tuesday. '' U.S . citizens travel Russia residing travelling Russia depart Russia immediately limited commercial travel options remain , '' added .",English,http://www.china.org.cn/world/2022-09/29/content_78443512.htm,,Unknown,Unknown,FALSE,newsCatcher
75,Doug Cunningham,2022-09-28,U.S. Moscow Embassy security alert warns Americans to leave Russia,"Sept. 28 (UPI) -- All Americans in Russia should leave immediately, according to a security alert from the U.S. Embassy in Moscow. The warning came as the Russian government rounds up men to force them to fight in Russia's invasion of Ukraine. U.S. citizens have been arrested in protests against the war, according to the U.S. Embassy in Moscow.
The warning statement issued Tuesday said, ""Russia may refuse to acknowledge dual nationals' U.S. citizenship, deny their access to U.S. consular assistance, prevent their departure from Russia, and conscript dual nationals for military service.",U.S. Moscow Embassy security alert warns Americans leave Russia,"Sept. 28 ( UPI ) -- All Americans Russia leave immediately , according security alert U.S. Embassy Moscow . The warning came Russian government rounds men force fight Russia 's invasion Ukraine . U.S. citizens arrested protests war , according U.S. Embassy Moscow . The warning statement issued Tuesday said , `` Russia may refuse acknowledge dual nationals ' U.S. citizenship , deny access U.S. consular assistance , prevent departure Russia , conscript dual nationals military service .",English,https://www.upi.com/Top_News/World-News/2022/09/28/americans-warned-to-leave-russia-us-embassy-moscow/5111664373333/,,Unknown,Unknown,FALSE,newsCatcher
76,system,2022-10-04,'Moral idiocy': Musk cops backlash over Russia-Ukraine comments,"A proposal by Elon Musk on ending the Russia-Ukraine war has been slammed after the world's richest man posted his ""solution"" to Twitter. The Tesla CEO claimed peace between Ukraine and Russia could be achieved by redoing ""elections of annexed regions under UN supervision"", with Russia to leave ""if that is the will of... read?full?story ""if that is the will of the people""",'Moral idiocy ' : Musk cops backlash Russia-Ukraine comments,"A proposal Elon Musk ending Russia-Ukraine war slammed world 's richest man posted `` solution '' Twitter . The Tesla CEO claimed peace Ukraine Russia could achieved redoing `` elections annexed regions UN supervision '' , Russia leave `` ... read full story `` people ''",English,https://article.wn.com/view/2022/10/04/x27moral_idiocy_x27_musk_cops_backlash_over_russiaukraine_co/,,Unknown,Unknown,FALSE,newsCatcher
77,Ted Snider,2022-10-04,If Kennedy Hadn't Listened to Khrushchev,"All Global Research articles?can be read in 51 languages by activating the?Translate This Article?button below the author's name.
To receive Global Research's Daily Newsletter (selected articles),?click here.
Follow us on Instagram?and?Twitter and subscribe to our Telegram Channel.?Feel free to repost and share widely Global Research articles.
***
This horrible war that could have been avoided, shouldn't have been launched and could have been ended early through a negotiated settlement has reached an unimagined brink.",If Kennedy Had n't Listened Khrushchev,"All Global Research articles read 51 languages activating Translate This Article button author 's name . To receive Global Research 's Daily Newsletter ( selected articles ) , click . Follow us Instagram Twitter subscribe Telegram Channel . Feel free repost share widely Global Research articles . * * * This horrible war could avoided , n't launched could ended early negotiated settlement reached unimagined brink .",English,https://www.globalresearch.ca/kennedy-hadnt-listened-khrushchev/5795347,,Unknown,Unknown,FALSE,newsCatcher
78,Ted Snider,2022-10-04,If Kennedy Hadn't Listened to Khrushchev,"This horrible war that could have been avoided, shouldn't have been launched and could have been ended early through a negotiated settlement has reached an unimagined brink. The major parties to the war, Russia, Ukraine and the US, can continue on the path of escalation and go over the brink, or they can start to talk and to listen to each other. Russia has been brought to the realization that there will be no negotiations with the West. Putin's December 2021 requests for negotiations before the war and Russia's accompanying?proposal on mutual security guarantees?were spurned by the US.",If Kennedy Had n't Listened Khrushchev,"This horrible war could avoided , n't launched could ended early negotiated settlement reached unimagined brink . The major parties war , Russia , Ukraine US , continue path escalation go brink , start talk listen . Russia brought realization negotiations West . Putin 's December 2021 requests negotiations war Russia 's accompanying proposal mutual security guarantees spurned US .",English,https://original.antiwar.com/?p=2012347035,,Unknown,Unknown,FALSE,newsCatcher
79,Reuters,2022-10-03,Russia Sacks Commander of Its Western District Forces,"LONDON (Reuters) - Russia has sacked the commander of its Western military district, the news outlet RBC reported on Monday.

RBC said Colonel-General Alexander Zhuravlyov would be replaced by Lieutenant-General Roman Berdnikov.

Russia has suffered a series of painful reverses in recent weeks in the war in Ukraine.

(Writing by Kevin Liffey)

Russia Invades Ukraine: A Timeline of the Crisis

View All 12 Slides

Political Cartoons on World Leaders

View All 183 Images

Copyright 2022 Thomson Reuters.",Russia Sacks Commander Its Western District Forces,"LONDON ( Reuters ) - Russia sacked commander Western military district , news outlet RBC reported Monday . RBC said Colonel-General Alexander Zhuravlyov would replaced Lieutenant-General Roman Berdnikov . Russia suffered series painful reverses recent weeks war Ukraine . ( Writing Kevin Liffey ) Russia Invades Ukraine : A Timeline Crisis View All 12 Slides Political Cartoons World Leaders View All 183 Images Copyright 2022 Thomson Reuters .",English,https://www.usnews.com/news/world/articles/2022-10-03/russia-sacks-commander-of-its-western-district-forces-rbc,,Unknown,Unknown,FALSE,newsCatcher
80,VOA,35 mins ago,America's Biggest Ship Deploys in North Atlantic Amid Looming Russian Threat,"The United States' newest and most advanced aircraft carrier has embarked 
on its first deployment to train with allies and patrol the high...",America 's Biggest Ship Deploys North Atlantic Amid Looming Russian Threat,The United States ' newest advanced aircraft carrier embarked first deployment train allies patrol high ...,English,https://www.voanews.com/a/america-s-biggest-ship-deploys-in-north-atlantic-amid-looming-russian-threat-/6776386.html,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd12e3081a237adcaac00f969c99282edc87daf5b7309cff865e.jpeg,Unknown,Unknown,TRUE,GoogleNews
81,Reuters,2022-10-16,"China, Russia at odds with US over UN meeting on North Korea","The United States asked the U.N. Security Council to meet on North Korea on 
Wednesday after Pyongyang fired a ballistic missile over Japan,...","China , Russia odds US UN meeting North Korea","The United States asked U.N. Security Council meet North Korea Wednesday Pyongyang fired ballistic missile Japan , ...",English,https://www.reuters.com/world/asia-pacific/us-ask-un-security-council-meet-north-korea-2022-10-04/,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd125188ddf9c086fc465cd2f41189b08627c67413540696cc21.jpeg,Unknown,Unknown,TRUE,GoogleNews
82,The New Yorker,2022-10-20,Inside Russia¡¯s ¡°Filtration Camps¡± in Eastern Ukraine,"On the morning of April 13th, forty-seven days after Russia began its siege 
of the Ukrainian port city of Mariupol, a man in his early...",Inside Russia ¡¯ ¡° Filtration Camps ¡± Eastern Ukraine,"On morning April 13th , forty-seven days Russia began siege Ukrainian port city Mariupol , man early ...",English,https://www.newyorker.com/magazine/2022/10/10/inside-russias-filtration-camps-in-eastern-ukraine,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd12ff66f6aa0e35d23503f38f79d4e3149bf82a93421e2c1211.jpeg,Unknown,Unknown,TRUE,GoogleNews
83,Politico,2022-10-4,Opinion | A Dangerous Idea to Punish Putin,"As President Vladimir Putin's bloody invasion of Ukraine continues, 
pressure is mounting to designate Russia as a state sponsor of terrorism...",Opinion | A Dangerous Idea Punish Putin,"As President Vladimir Putin 's bloody invasion Ukraine continues , pressure mounting designate Russia state sponsor terrorism ...",English,https://www.politico.com/news/magazine/2022/10/04/punishing-putin-terrorism-dangerous-00060107,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd12c44355baf716838e28d1383624bfab811dafd422716d0163.jpeg,Unknown,Unknown,TRUE,GoogleNews
84,Financial Times,2022-10-14,Saudi Arabia and Russia plan deep oil cuts in defiance of US,"Saudi Arabia is seeking to raise oil prices at a crucial meeting in Vienna 
in a move set to anger the US and help Russia.",Saudi Arabia Russia plan deep oil cuts defiance US,Saudi Arabia seeking raise oil prices crucial meeting Vienna move set anger US help Russia .,English,https://www.ft.com/content/476d8174-1ad5-4dbe-8092-37853b2a7673,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd12aa8db999ba6ceb6cd5787eabac2439ef39eee813470e92f1.jpeg,Unknown,Unknown,TRUE,GoogleNews
85,Foreign Policy,2022-10-12,Russians Flee Draft for Overwhelmed Central Asian States,"For more than two decades, Central Asian labor migrants have traveled to 
Russia for work. Now, with Russian President Vladimir Putin's...",Russians Flee Draft Overwhelmed Central Asian States,"For two decades , Central Asian labor migrants traveled Russia work . Now , Russian President Vladimir Putin 's ...",English,https://foreignpolicy.com/2022/10/04/russia-putin-mobilization-central-asia-conscripts-flee/,https://serpapi.com/searches/633cd1e4fe41d09ecd523c8e/images/5d0e81d17d60cd12d5b8fd68eab77ed2e5c20ec7fd5f13d14a6969cf247f5744.jpeg,Unknown,Unknown,TRUE,GoogleNews
86,The Guardian,2022-10-04,Ukraine: at least 18 people working for occupiers targeted in attacks,A least 18 people working for the Russian occupying authorities in Ukraine have been targeted in attacks allegedly carried out by Ukrainian partisans that have become a key plank of Kyivs efforts to ¡¦ [+5079 chars],Ukraine : least 18 people working occupiers targeted attacks,A least 18 people working Russian occupying authorities Ukraine targeted attacks allegedly carried Ukrainian partisans become key plank Kyivs efforts ¡¦ [ +5079 chars ],English,https://www.theguardian.com/world/2022/oct/04/ukraine-at-least-18-people-working-for-occupiers-targeted-in-attacks,https://i.guim.co.uk/img/media/1f92817d8dd9e1419b10d557fd949a0dd52c2b38/0_336_3500_2099/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=86a92ac5b78e143d2258467137a67d4b,Unknown,Unknown,TRUE,newsAPI
87,The Guardian,2022-10-02,Venezuela swaps prisoners with US in hint of thawing relations,"Venezuela has freed seven imprisoned Americans in exchange for the US releasing two nephews of President Nicol?s Maduros wife who had been jailed for years on narcotics convictions.
The swap of the ¡¦ [+7384 chars]",Venezuela swaps prisoners US hint thawing relations,Venezuela freed seven imprisoned Americans exchange US releasing two nephews President Nicol?s Maduros wife jailed years narcotics convictions . The swap ¡¦ [ +7384 chars ],English,https://amp.theguardian.com/world/2022/oct/02/venezuelan-swaps-prisoners-with-us-in-hint-of-thawing-relations,https://i.guim.co.uk/img/media/d2cf78948f23ae1b53639e42a7548c4705ee05ea/0_88_3500_2101/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=c431992a15a87171fe9a0d956e4f9a62,Unknown,Unknown,TRUE,newsAPI
88,BBC News,2022-10-03,Capt Ibrahim Traor?: Burkina Faso's new military ruler,"Said to have been a shy but intelligent boy in school, Burkina Faso's Capt Ibrahim Traor? has become the latest military officer to seize power in a coup in one of France's former colonies in West Af¡¦ [+4304 chars]",Capt Ibrahim Traor? : Burkina Faso 's new military ruler,"Said shy intelligent boy school , Burkina Faso 's Capt Ibrahim Traor? become latest military officer seize power coup one France 's former colonies West Af¡¦ [ +4304 chars ]",English,https://www.bbc.co.uk/news/world-africa-63117008,https://ichef.bbci.co.uk/news/1024/branded_news/15A93/production/_126932788_whatsappimage2022-10-03at7.36.36am.jpg,Unknown,Unknown,TRUE,newsAPI
