,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
18,Facebook posts,2022-9-6,“Walmart management is helping with rising prices with $500 grocery cards for $2.”,Unavailable,“ Walmart management helping rising prices $ 500 grocery cards $ 2 . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/facebook-posts/dont-fall-walmart-gift-card-offer/,,Unknown,Fake,False,politifact
19,The Gateway Pundit,2022-9-6,Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,Unavailable,Bank America “ announced new mortgage home loan program first-time homebuyers . But blacks Hispanics eligible . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,,Unknown,Fake,False,politifact
20,National Republican Senatorial Committee,2022-9-6,"Says Mandela Barnes ""supports stripping health care away from millions.""",Unavailable,Says Mandela Barnes `` supports stripping health care away millions . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,,Unknown,Fake,False,politifact
21,Charlie Crist,2022-9-2,"Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Unavailable,Gov . Ron DeSantis raised `` taxes middle class $ 1.5 billion giving away $ 624 million big corporations . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,,Unknown,Fake,False,politifact
22,Tom Cotton,2022-9-2,"“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Unavailable,"“ 60 % Alaska voters voted Republican , thanks convoluted process ballot exhaustion — disenfranchises voters — Democrat ‘ . ’ ''",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,,Unknown,Fake,False,politifact
23,Democratic Party of Wisconsin,2022-9-2,Says “Tim Michels doesn’t think gay people should be out in public.”,Unavailable,Says “ Tim Michels ’ think gay people public . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,,Unknown,Fake,False,politifact
24,CatholicVote,2022-9-1,Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,Unavailable,Three churches targeted arson attacks summer “ protect unborn babies women need . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,,Unknown,Fake,False,politifact
25,Herschel Walker,2022-9-1,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Unavailable,Joe Biden Raphael Warnock `` spending $ 1.5 billion ‘ urban forestry ’ raising taxes making $ 200k pay . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,,Unknown,Real,False,politifact
26,Cheri Beasley,2022-9-1,"“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Unavailable,"“ Sixty-four members Congress — Republicans Democrats — broken law stop insider stock trading , yet Washington refuses anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,,Unknown,Real,False,politifact
27,Social Media,2022-9-1,"In New York, you need to show identification to buy whipped cream, but not to vote.",Unavailable,"In New York , need show identification buy whipped cream , vote .",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,,Unknown,Fake,False,politifact
28,Instagram posts,2022-8-31,"""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,`` Water-fueled car travel LA NY 22 gallons . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,,Unknown,Fake,False,politifact
29,Adam Laxalt,2022-8-31,"The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,The public health order Title 42 `` last tool Border Patrol stop overwhelming flood illegal immigrants pouring country . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,,Unknown,Fake,False,politifact
30,Par Ivàn,2022-09-02,Elizabeth II en souffrance ? Ces visites récurrentes d'un proche qui interrogent,"1/21 - Elizabeth II Le 1er septembre, l'Express UK a rapporté que la reine Elizabeth II recevait des visites quotidiennes inhabituelles du prince Charles. Le 1er septembre, l'Express UK a rapporté que la reine Elizabeth II recevait des visites quotidiennes inhabituelles du prince Charles. Ce qui suscitent de nombreuses questions sur son état de santé.Le prince Charles rend des visites quotidiennes très inhabituelles à la reine Elizabeth IILa monarque est restée à Balmoral et n'a pas choisi le nouveau Premier ministrePourtant, le Palais a annoncé que la reine n'était pas maladeCe n'est plus un secret que la santé de la reine Elizabeth II, 96 ans, ne va pas en s'arrangeant.",Elizabeth II en souffrance ? Ces visites récurrentes d'un proche qui interrogent,"1/21 - Elizabeth II Le 1er septembre , l'Express UK rapporté que la reine Elizabeth II recevait des visites quotidiennes inhabituelles du prince Charles . Le 1er septembre , l'Express UK rapporté que la reine Elizabeth II recevait des visites quotidiennes inhabituelles du prince Charles . Ce qui suscitent de nombreuses questions sur son état de santé.Le prince Charles rend des visites quotidiennes très inhabituelles à la reine Elizabeth IILa monarque est restée à Balmoral et n ' pas choisi le nouveau Premier ministrePourtant , le Palais annoncé que la reine n'était pas maladeCe n'est plus un secret que la santé de la reine Elizabeth II , 96 ans , ne va pas en s'arrangeant .",English,https://www.closermag.fr/royautes/elizabeth-ii-en-souffrance-ces-visites-recurrentes-d-un-proche-qui-interrogent-1643679,,Unknown,Unknown,False,newsCatcher
31,Ashley Fletcher,2022-09-04,Listen to Elizabeth Potthast cover an iconic Patsy Cline song,"Elizabeth Potthast is ready to get her singing career started. Pic credit: TLC
90 Day Fiance star Elizabeth Potthast continues to share her singing skills with fans of the show.
After a clip of her singing a lullaby to her daughter surfaced online, viewers of the show have been sharing their thoughts on Elizabeth's vocal abilities.
During the season premiere of Happily Ever After?, Elizabeth revealed that she is taking steps to jumpstart her singing career.
As she and her husband build their dream home, they are dedicating a room to become her studio so that she can rehearse and record her own music.",Listen Elizabeth Potthast cover iconic Patsy Cline song,"Elizabeth Potthast ready get singing career started . Pic credit : TLC 90 Day Fiance star Elizabeth Potthast continues share singing skills fans show . After clip singing lullaby daughter surfaced online , viewers show sharing thoughts Elizabeth 's vocal abilities . During season premiere Happily Ever After ? , Elizabeth revealed taking steps jumpstart singing career . As husband build dream home , dedicating room become studio rehearse record music .",English,https://www.monstersandcritics.com/tv/reality-tv/listen-to-elizabeth-potthast-cover-an-iconic-patsy-cline-song/,,Unknown,Unknown,False,newsCatcher
32,Em Short,2022-09-04,Becoming Elizabeth: Historical Figures vs. TV Characters,"The new Starz series Becoming Elizabeth follows the young Elizabeth Tudor after the death of her father, the notorious King Henry VIII of England. The historical drama, created by Anya Reiss, depicts the then-future queen of England as she navigates the treacherous waters of the English court. Like many period pieces, Becoming Elizabeth has its dramatized historical inaccuracies, but the show must be praised for its mostly true-to-life depictions of the most important characters of the English Court.",Becoming Elizabeth : Historical Figures vs. TV Characters,"The new Starz series Becoming Elizabeth follows young Elizabeth Tudor death father , notorious King Henry VIII England . The historical drama , created Anya Reiss , depicts then-future queen England navigates treacherous waters English court . Like many period pieces , Becoming Elizabeth dramatized historical inaccuracies , show must praised mostly true-to-life depictions important characters English Court .",English,https://movieweb.com/becoming-elizabeth-historically-accurate/,,Unknown,Unknown,False,newsCatcher
33,,2022-09-02,Queen Elizabeth II not attending Scotland's Highland Games amid ‘mobility issues',"2:51 Reflecting on the impact of Queen Elizabeth II as she marks 70 years on the throne There is no denying that Queen Elizabeth has been an enduring presence in the world. Dawna Friesen reflects on her seven decades on the throne – Jun 5, 2022 
 Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around.
The 96-year-old monarch previously decided to formally appoint Britain's new prime minister on Tuesday at Balmoral Castle in Scotland, where she is vacationing, rather than return to London for the traditional ceremony at Buckingham Palace.",Queen Elizabeth II attending Scotland 's Highland Games amid ‘ mobility issues ',"2:51 Reflecting impact Queen Elizabeth II marks 70 years throne There denying Queen Elizabeth enduring presence world . Dawna Friesen reflects seven decades throne – Jun 5 , 2022 Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . The 96-year-old monarch previously decided formally appoint Britain 's new prime minister Tuesday Balmoral Castle Scotland , vacationing , rather return London traditional ceremony Buckingham Palace .",English,https://globalnews.ca/news/9102316/queen-elizabeth-ii-highland-games-mobility/,,Unknown,Unknown,False,newsCatcher
34,PIX11,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:28 AM EDT Updated: Sep 2, 2022 / 08:28 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:28 AM EDT Updated : Sep 2 , 2022 / 08:28 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://pix11.com/entertainment/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
35,Febriyantino Nur Pratama,2022-09-03,Di Mata Ikang Fawzi Soal Kepemimpinan Monarki Ratu Elizabeth II,"Jakarta - Meninggalnya Ratu Elizabeth II membuat dunia berduka. Lantas melihat ke belakang, Ikang Fawzi turut mengomentari gaya kepemimpinan mendiang Ratu Elizabeth.""Monarki ya, di dalam hati gue yang terdalam gue nggak suka monarki. Maksudnya kita sudah lama meninggalkan monarki. Tapi di Inggris, monarki yang memang rakyatnya sudah siap dan kekuasaannya dibatasi iya, kan, ceremonial,"" kata Ikang Fawzi di Cawang, Jakarta Timur, Jumat (9/9/2022).Ikang juga akui tak suka dengan kepemimpinan Ratu Elizabeth II yang bergaya monarki.",Di Mata Ikang Fawzi Soal Kepemimpinan Monarki Ratu Elizabeth II,"Jakarta - Meninggalnya Ratu Elizabeth II membuat dunia berduka . Lantas melihat ke belakang , Ikang Fawzi turut mengomentari gaya kepemimpinan mendiang Ratu Elizabeth . `` Monarki ya , di dalam hati gue yang terdalam gue nggak suka monarki . Maksudnya kita sudah lama meninggalkan monarki . Tapi di Inggris , monarki yang memang rakyatnya sudah siap dan kekuasaannya dibatasi iya , kan , ceremonial , '' kata Ikang Fawzi di Cawang , Jakarta Timur , Jumat ( 9/9/2022 ) .Ikang juga akui tak suka dengan kepemimpinan Ratu Elizabeth II yang bergaya monarki .",English,https://hot.detik.com/celeb/d-6282208/di-mata-ikang-fawzi-soal-kepemimpinan-monarki-ratu-elizabeth-ii,,Unknown,Unknown,False,newsCatcher
36,FOX 2,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 07:45 AM CDT Updated: Sep 2, 2022 / 07:45 AM CDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 07:45 AM CDT Updated : Sep 2 , 2022 / 07:45 AM CDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://fox2now.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
37,NBC4 WCMH-TV,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:27 AM EDT Updated: Sep 2, 2022 / 08:27 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:27 AM EDT Updated : Sep 2 , 2022 / 08:27 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.nbc4i.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
38,ABC27,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.abc27.com/news/entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
39,NEWS10 ABC,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 09:02 AM EDT Updated: Sep 2, 2022 / 09:02 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 09:02 AM EDT Updated : Sep 2 , 2022 / 09:02 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.news10.com/news/entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
40,Torstar Open Data Team,2022-09-02,Niagara highway closures for planned roadwork (Sept. 2),"Expect delays, especially during busy travel times: The Ministry of Transportation has scheduled seven closures in Niagara on Sept. 2 for roadwork on Queen Elizabeth Way. Queen Elizabeth Way Fort Erie bound between Beck Road and Sodom Road: one right lane closed until Nov. 1 at 11:59 p.m. Queen Elizabeth Way Fort Erie bound between Garden City Skyway and Highway 405: two alternating lanes closed until Sept. 2 at 8 a.m. Queen Elizabeth Way Fort Erie bound between McLeod Road and Lyons Creek Road: one left lane closed until Dec.",Niagara highway closures planned roadwork ( Sept. 2 ),"Expect delays , especially busy travel times : The Ministry Transportation scheduled seven closures Niagara Sept. 2 roadwork Queen Elizabeth Way . Queen Elizabeth Way Fort Erie bound Beck Road Sodom Road : one right lane closed Nov. 1 11:59 p.m. Queen Elizabeth Way Fort Erie bound Garden City Skyway Highway 405 : two alternating lanes closed Sept. 2 8 a.m. Queen Elizabeth Way Fort Erie bound McLeod Road Lyons Creek Road : one left lane closed Dec .",English,https://www.stcatharinesstandard.ca/news/highway-closures/2022/09/02/niagara-highway-closures-for-planned-roadwork-sept-2.html,,Unknown,Unknown,False,newsCatcher
