Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
Instagram posts,"August 30, 2022",Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/modernas-lawsuits-against-pfizer-do-not-prove-covi/,False,Unknown,false,False
Instagram posts,"August 30, 2022","Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/businesses-associated-these-gop-politicians-had-pa/,False,Unknown,true,False
Deidre DeJear,"August 29, 2022",“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/deidre-dejear/differences-exist-how-spend-it-state-budget-surplu/,False,Unknown,barely-true,False
Facebook posts,"August 29, 2022","Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/facebook-posts/florida-school-district-halted-library-purchases-d/,False,Unknown,half-true,False
Viral image,"August 29, 2022",“Nearly half of pregnant women in Pfizer trial miscarried.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/viral-image/its-not-true-nearly-half-pregnant-women-pfizers-co/,False,Unknown,false,False
Facebook posts,"August 29, 2022",The Supreme Court will put Donald Trump back in office in October,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/facebook-posts/us-supreme-court-not-going-put-trump-back-office/,False,Unknown,pants-fire,False
National Republican Senatorial Committee,"August 29, 2022",Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/29/national-republican-senatorial-committee/barnes-does-not-support-abolish-ice-movement/,False,Unknown,barely-true,False
Facebook posts,"August 26, 2022","Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/political-commentator-ben-shapiro-didnt-receive-pp/,False,Unknown,false,False
Viral image,"August 26, 2022","""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/viral-image/no-your-bodys-ph-levels-cant-prevent-you-getting-c/,False,Unknown,false,False
Facebook posts,"August 26, 2022","""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/podcast-host-falsely-claims-monkeypox-governmental/,False,Unknown,pants-fire,False
Viral image,"August 26, 2022",Video shows Tucker Carlson speechless in interview with a guest.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/viral-image/no-isnt-authentic-video-tucker-carlson-speechless-/,False,Unknown,false,False
Pitbull,"August 26, 2022","The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/pitbull/old-claim-still-false-covid-19-pandemic-was-not-pl/,False,Unknown,false,False
Republican Party of Florida,"August 26, 2022","Charlie Crist ""supported Biden's agenda to defund the police.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/republican-party-florida/no-charlie-crist-doesnt-support-agenda-defund-poli/,False,Unknown,false,False
Facebook posts,"August 26, 2022",“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/no-united-states-isnt-testing-nuclear-bomb-b-1b-la/,False,Unknown,false,False
Viral image,"August 26, 2022",Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/viral-image/no-dead-people-didnt-cast-half-joe-bidens-2020-pre/,False,Unknown,pants-fire,False
Mark Kelly,"August 26, 2022",Blake Masters “wants to pass a national ban on abortion.”,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/mark-kelly/blake-masters-still-supports-national-abortion-ban/,False,Unknown,mostly-true,False
Facebook posts,"August 26, 2022","The deaths of U.S. Rep. Jackie Walorski, R-Ind., and actor Anne Heche are suspicious and linked because they “partnered fighting against pedophilia.”",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/26/facebook-posts/no-evidence-deaths-us-rep-jackie-walorski-and-anne/,False,Unknown,false,False
Blake Masters,"August 25, 2022",On privatizing Social Security.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/25/blake-masters/blake-masters-stance-privatizing-social-security-s/,False,Unknown,half-flip,False
Tweets,"August 25, 2022",Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home.,Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/25/tweets/no-trump-not-representing-himself-case-against-us-/,False,Unknown,false,False
Ron Johnson,"August 25, 2022","""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",Unavailable,,,English,https://www.politifact.com//factchecks/2022/aug/25/ron-johnson/johnsons-claim-irs-audits-mostly-low-wage-earners-/,False,Unknown,mostly-true,False
